LOTNO,OPERATION,OPN,DATE,TIME
4297293,7562,BVXFT3XX0A1XUU0,2015/4/9,031807
9EU9900,7562,ORXAM3XX0C0XUU0,2015/4/9,170612
9EU9900,7562,ORXAM3XX0C0XUU0,2015/4/9,171036
9EU9900,7562,ORXAM3XX0C0XUU0,2015/4/9,171509
9EU9900,7562,ORXAM3XX0C0XUU0,2015/4/9,175234
9EV3811,7562,BVXFT3XX0A1XUU0,2015/4/10,153650
9EV3842,7562,BVXFT3XX0A1XUU0,2015/4/10,145712
9EV3852,7562,BVXFT3XX0A1XUU0,2015/4/10,155857
9EV8771,7562,BVFT3XX0A1XUU0,2015/4/10,130732
9EV8771,7562,BVFT3XX0A1XUU0,2015/4/10,130902
9EV8771,7562,BVXFT3XX0A1XUU0,2015/4/10,131042
9EV9000,7562,TN2FM2XX0A1CUU0,2015/4/10,125743
9EV9000,7562,TN2FM2XX0A1CUU0,2015/4/10,125933
WG30937,7562,KTXBL2XX0AB0AUU0,2015/4/10,215713
WG30937,7562,KTXBL2XX0B0AUU0,2015/4/10,203738
WG30937,7562,KTXBL2XX0B0AUU0,2015/4/10,215810
WG30937,7562,KTXBL2XX0B0AUU0,2015/4/10,220549
WG30937,7562,KTXBL2XX0B0AUU0,2015/4/10,220621
WG30937,7562,KTXBL2XX0B0AUU0,2015/4/10,220702
9EV4481,7562,BVXFT3XX0A1XUU0,2015/4/11,091504
9EV4531,7562,BVXFT3XX0A1XUU0,2015/4/11,075024
9EV4821,7562,BVXFT3XX0A1XUU0,2015/4/11,150927
9EV4831,7562,BVXFT3XX0A1XUU0,2015/4/11,143211
9EV9291,7562,KTXBL2XX0B0AUU0,2015/4/11,072833
WG28905,7562,KBXFT3XX01A1XUU0,2015/4/11,162757
WG28905,7562,KBXFT3XX0A1XUU0,2015/4/11,163255
Y845894,7562,ORXG34R20C0XUU0,2015/4/12,213458
4297372,7562,KBXFT3XX0A1XUU0,2015/4/13,124713
9ET2480,7562,TN1FM2XX0A1DUU0,2015/4/13,153523
9EV7311,7562,KTXBL2XX0B0AUU0,2015/4/13,173704
9EV7311,7562,KTXBL2XX0B0AUU0,2015/4/13,173907
9EV7311,7562,KTXBL2XX0B0AUU0,2015/4/13,174102
9EV9881,7562,KTXBL2XX0B0AUU0,2015/4/13,164618
9EV9941,7562,KTXBL2XX0B0AUU0,2015/4/13,134151
9EV9941,7562,KTXBL2XX0B0AUU0,2015/4/13,134632
WG27931,7562,BVXFT3XX0A1XUU0,2015/4/13,032232
WG28917,7562,KTXBL2XX0B0AUU0,2015/4/13,204550
WG28917,7562,KTXBL2XX0B0AUU0,2015/4/13,205021
WG35263,7562,TN2FM2XX0A1CUU0,2015/4/13,140232
WG35263,7562,TN2FM2XX0A1CUU0,2015/4/13,140723
WG35333,7562,TN2FM2XX0A1CUU0,2015/4/13,143924
Y847465,7562,ORXG34R20C0XUU0,2015/4/13,220015
9EV6280,7562,ORXAM3XX0C0XUU0,2015/4/14,025019
9EV6280,7562,ORXAM3XX0C0XUU0,2015/4/14,025158
9EV6701,7562,KTXBL2XX0B0AUU0,2015/4/14,060607
9EV7331,7562,KTXBL2XX0B0AUU0,2015/4/14,205742
9EV7461,7562,KTXBL2XX0B0AUU0,2015/4/14,171038
9EV7461,7562,KTXBL2XX0B0AUU0,2015/4/14,171139
9EV7680,7562,TN2FM2XX0A1CUU0,2015/4/14,133448
9EV7680,7562,TN2FM2XX0A1CUU0,2015/4/14,140250
9EV7680,7562,TN2FM2XX0A1CUU0,2015/4/14,141714
9EW0300,7562,ORXAM3XX0C0XUU0,2015/4/14,160436
9EW0360,7562,ORXAM3XX0C0XUU0,2015/4/14,163610
9EW0360,7562,ORXAM3XX0C0XUU0,2015/4/14,173842
9EW0390,7562,ORXAM3XX0C0XUU0,2015/4/14,164448
9EW0390,7562,ORXAM3XX0C0XUU0XXX,2015/4/14,164403
9EN1475,7562,ORXG34R20C0XUU0,2015/4/15,202708
9EV6862,7562,KTXBL2XX0B0AUU0,2015/4/15,060427
9EV7011,7562,KTXBL2XX0B0AUU0,2015/4/15,060120
9EV7011,7562,KTXBL2XX0B0AUU0,2015/4/15,073018
9EV7512,7562,KTXBL2XX0B0AUU0,2015/4/15,061420
9EV9582,7562,KTXBL2XX0B0AUU0,2015/4/15,132801
9EV9582,7562,KTXBL2XX0B0AUU0,2015/4/15,133004
9EV9582,7562,KTXBL2XX0B0AUU0,2015/4/15,133046
9EW0270,7562,ORXAM3XX0C0XUU0,2015/4/15,062100
Y864980,7562,ORXAM3XX0C0XUU0,2015/4/15,161631
9EV5891,7562,BVXFT3XX0A1XUU0,2015/4/16,120009
9EV5891,7562,BVXFT3XX0A1XUU0,2015/4/16,121200
9EV6671,7562,KTXBL2XX0B0AUU0,2015/4/16,025310
9EV6681,7562,KTXBL2XX0B0AUU0,2015/4/16,060006
9EV7740,7562,TN2FM2XX0A1CUU0,2015/4/16,104354
9EV7740,7562,TN2FM2XX0A1CUU0,2015/4/16,112215
9EV7740,7562,TN2FM2XX0A1CUU0,2015/4/16,122810
9EV7750,7562,TN2FM2XX0A1CUU0,2015/4/16,093813
9EV7750,7562,TN2FM2XX0A1CUU0,2015/4/16,095301
9EV7871,7562,KTXBL2XX0B0AUU0,2015/4/16,020140
9EV7871,7562,KTXBL2XX0B0AUU0,2015/4/16,024619
9EV7900,7562,TN2FM2XX0A1CUU0,2015/4/16,131040
9EV7900,7562,TN2FM2XX0A1CUU0,2015/4/16,134544
9EV7981,7562,KTXBL2XX0B0AUU0,2015/4/16,205349
9EV8003,7562,KTXBL2XX0B0AUU0,2015/4/16,062823
9EV8003,7562,PRXBL2XX0A1BBS0,2015/4/16,062338
9EW0590,7562,ORXAM3XX0C0XUU0,2015/4/16,145518
Y865900,7562,ORXAM3XX0C0XUU0,2015/4/16,172426
Y865970,7562,ORXAM3XX0C0XUU0,2015/4/16,155951
Y865970,7562,ORXAM3XX0C0XUU0,2015/4/16,163013
Y865980,7562,ORXAM3XX0C0XUU0,2015/4/16,172851
Y866010,7562,ORXAM3XX0C0XUU0,2015/4/16,180039
Y866020,7562,ORXAM3XX0C0XUU0,2015/4/16,152453
4297611,7562,BVXFT3XX0A1XUU0,2015/4/17,125748
4297611,7562,BVXFT3XX0A1XUU0,2015/4/17,130337
9EV6751,7562,KTXBL2XX0B0AUU0,2015/4/17,230311
9EV6821,7562,KTXBL2XX0B0AUU0,2015/4/17,001334
9EV6821,7562,KTXBL2XX0B0AUU0,2015/4/17,001414
9EV6862,7562,KTXBL2XX0B0AUU0,2015/4/17,201447
9EV6862,7562,KTXBL2XX0B0AUU0,2015/4/17,223533
9EV8111,7562,KTXBL2XX0B0AUU0,2015/4/17,040916
9EW0840,7562,ORXC320B2GUU,2015/4/17,133822
9EW0840,7562,ORXC320B2GUU,2015/4/17,223732
9EX0160,7562,TN2FM2XX0A1CUU0,2015/4/17,165827
9EX0411,7562,KTXBL2XX0B0AUU0,2015/4/17,220809
9EX0411,7562,KTXBL2XX0B0AUU0,2015/4/17,222406
9EX0411,7562,KTXBL2XX0B0AUUI0,2015/4/17,222207
WG30984,7562,KBXFT3XX0A1XUU0,2015/4/17,210110
WG30984,7562,KBXFT3XXDA1BFS0,2015/4/17,205904
Y864330,7562,ORXG34R20C0XUU0,2015/4/17,235030
Y864460,7562,ORXG34R20C0XUU0,2015/4/17,223057
Y864590,7562,ORXG34R20C0XUU0,2015/4/17,215205
Y864600,7562,ORXG34R20C0XUU0,2015/4/17,202635
Y864600,7562,ORXG34R20C0XUU0,2015/4/17,205433
Y865940,7562,ORXAM3XX0C0XUU0,2015/4/17,015033
9EV7721,7562,KTXBL2XX0B0AUU0,2015/4/18,024339
9EW0750,7562,ORXAM3XX0C0XUU0,2015/4/18,002634
9EW0921,7562,KTXBL2XX0B0AUU0,2015/4/18,055032
9EX0191,7562,KTXBL2XX0B0AUU0,2015/4/18,093045
9EX0420,7562,TN2FM2XX0A1CUU0,2015/4/18,102019
CORRRUN,7562,ORXC320B2GUU,2015/4/18,220348
CORRRUN,7562,ORXC320B2GUU,2015/4/18,220754
WG30986,7562,KBXFT3XX0A1XUU0,2015/4/18,202515
WG30986,7562,KBXFT3XX0A1XUU0,2015/4/18,204716
WG30986,7562,KBXFT3XX0A1XUU0X,2015/4/18,202424
WG30987,7562,KBXFT3XX0A1XUU0,2015/4/18,095037
Y864330,7562,ORXG34R20C0XUU0,2015/4/18,002004
Y864340,7562,ORXG34R20C0XUU0,2015/4/18,005035
9EW1070,7562,ORXAM3XX0C0XUU0,2015/4/19,015119
9EX0861,7562,KTXBL2XX0B0AUU0,2015/4/19,173949
